2026-02-23T11:12:51.177087600+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1477
2026-02-23T11:12:53.870328900+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1498
2026-02-23T11:12:56.072016300+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3748
2026-02-23T11:14:30.704263100+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1682
2026-02-23T11:14:33.936508200+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3953
2026-02-23T11:14:39.762745100+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4250
2026-02-23T11:16:35.400618600+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=2252
2026-02-23T11:16:39.212586300+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4523
2026-02-23T11:16:49.504234100+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4523
2026-02-23T11:17:41.153573100+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1049
2026-02-23T11:17:44.997946800+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3642
